ID,hc_related,description
2713,1,"Happy-go-lucky cancer survivor. I love God, people, animals, nature, sunshine, cooking, laughter and I've always wanted to be Rainbow Brite. That says it all."
2714,1,"The Journal of Health and Medical Informatics is an international, peer-reviewed journal elaborating the application of computers to health care."
2715,0,"A down-to-earth, happy-go-lucky guy, who is just making it up as I travel through life, adding a virtual laugh track here and there to amuse others and myself."
2716,0,"Love life, live life. I want my country back to normal. 
No DM 
 "
2717,1,I am interested in helping and making positive impact in people's lives Advocating and campaign for a better form of livelihood for the physically challenged
2718,0,"Writer, Speaker, Coach and Consultant, helping leaders and organizations to achieve extraordinary results through innovation and reinvention."
2719,0,Del Ray resident. Long suffering Mets fan. Brown dog enthusiast. Federal relations professional. Views are my own.
2720,1,nurse practitioner :-) Independent Herbalife coach
2721,1,"Sports Medicine Chiropractic
Nutritional blood testing
Allergy blood testing
Ah"
2722,0,One from Egypt
2723,0,"Reader, Runner, music fan, entrepreneur, finance and politics."
2724,0,writer
2725,1,Believer. RN. Account Specialist. Elite Baller. I Can Do All Things Thru JC..
2726,1,"Association of Nurses in AIDS Care - ANAC - is the only not-for-profit, 501(c)(3), national professional association specifically for HIV/AIDS nurses."
2727,0,Never Give up for some..thing..
2728,0,"Established in 1914, the Cleveland Foundation is the worlds first community foundation and one of the largest. Join us, and be a part of the bigger picture!"
2729,1,"Sprightly communicator for various nonprofit, academic and medical-type places."
2730,0,senior writer/director research communications 
2731,0,17.  /-.../-../-./  .  .      .
2732,1,Autoimmune Warrior | 
2733,1,"Researcher and psychologist (eating disorders, obesity, genetics, PTSD), mom, wife, traveler, foodie, yogini."
2734,1,Self-identify as a biophysicist. Currently living the postdoc life. Interested in how thermodynamics define protein function. 
2735,1,Dr. Quynh Do
2736,1,"I'm juzt a doctor, catholic and happy"
2737,1,"With the landscape of nutrition changing rapidly, Bluebonnet Nutrition isnt simply changing with it, were leading the way to better health."
2738,0,"A brand a reputation consultancy, helping clients create award winning, perfectly executed strategies."
2739,0,IG: UmoruIdris 
2740,1,"Senior Communications Specialist, Cedars-Sinai. Bird-watcher. Science fan."
2741,0,"BeautySleep is the beauty enhancing sleep drink. Made with essential sleep aids, antioxidants and vitamins to help you fall asleep easily and nourish your skin."
2742,0,Lancaster-Eagle Gazette reporter
2743,0,"Integrador de sistemas, consultor y CFO de UNISYS Corporation, certificado en proyectos de ingeniera de diseo, comunicaciones y estructuras de servidores."
2744,0,"Rob Reinalda: Editor, writer, raconteur, actor, "
2745,0,"Investigative reporter for PIX11 News; tennis player, movie buff, proud mom; daughter of Irish immigrants. Instagram "
2746,0,"We are a Oklahoma based store that provides fun, trendy, and eco-friendly cloth diapering and baby products for mothers and growing families."
2747,1,Retired RN. Football fanatic!!! I will follow Johnny Football Manziel wherever he goes!!
2748,0,Are you a Heartosaurus?
2749,0,Very dedicated to my family.
2750,0,"Father, Solicitor, and Friend."
2751,0,Married my high school sweetheart and fireman hero!  We have had 6 sons together.  My full time job is taking care of my wonderful guys.
2752,0,Donostiarra. Cirujano cardiovascular. Apasionado de lo mo y de los mos.
2753,1,Physical therapist//Boston fanatic\\Fluent in sarcasm
2754,0,Connector| MBA| Legacy Builder| Proud Mentor| Dope Soul 
2755,1,"Medicine, Boston and Clemson Sports "
2756,0,"~Always been a philosopher, researcher, educator, life long student, & Humanitarian. Belief in a Higher Power, Dignity & Standing for The Cause. Wise up.~"
2757,0,"Try not to become a man of success, but rather try to become a man of value."
2758,1,"Outdoor Lover, Writer, Traveler, Oakland Proud. Breast Cancer Diagnosis, November 21, 2016; Second Diagnosis, September 23, 2018."
2759,1,Ames-Grenz Insurance Services was established in Dec. 1968 and provides employee benefits: 
2760,0, & 
2761,0,twitter twitter little star ;)
2762,0,Coach to Leaders & Teams worldwide
2763,0,Learning to Fly. Combustion Research for AeroSpace 
2764,1,"Leading software communications company for healthcare/life sciences. Online discussion platform engages HCPs. When engagement matters, companies choose Within3"
2765,1,"PHARMACEUTICAL  SUPPLY CHAIN SPECIALIST,PHARMACIST,DISTRIBUTION IN SOUTHERN AFRICA.contacts:+26876398518,+26825052317,+26825054189,ginjon20@yahoo.com,"
2766,0,"Work as a Senior Software Engineer at BAE Systems IT, originally from karachi, in usa since 1995"
2767,0, & 
2768,0,Absofuckinlutely just me.......
2769,0,"Female Owned; Est Yr. 2000, Private Label Mfgr; Fetish Adult Novelty Company. TSX Toys manufactures more extensions than any company in the entire world!"
2770,0,"Hiking,  Fitness ,Sports . Philadelphia Phillies,  Super Bowl champion Philadelphia  Eagles "
2771,0,"Unlimited human power comes from strong mind; confidence, courage, commitment, control, purpose; this is the recipe.."
2772,0,"author, analyst, commentator"
2773,0,Be passionate about what you do!
2774,0,God 1st x Forever ! Happily married sarcastic enthusiastic mum to 3 
2775,1,Private Medical Practice in internal medicine and cardiology. Professional and personalised medical services.Conceriege medical care provider-Program+
2776,1,Whitecap Health is a strategic advisory firm dedicated to the healthcare sector
2777,1,"Family medicine resident,       
Proud KSU graduate"
2778,1,The best ideas in medicine for kids.
2779,0,"Grandmother of 6 and loving it. Winner of a Chile Cook Off. Enjoy reading, writing, and gardening. On a journey to good health via exercise and Paleo eating."
2780,0,Universal blep.
2781,0,"It's about growing your business and entrepreneurial spirit, what's slowing and what's growing your business.

It's marketing, finance, networking and more!"
2782,0,Science reporter on the poison beat/Sunday news editor 
2783,0,"
"
2784,1,"Prof,Dr. , Hematology, Director of HSCT and Hemapheresis"
2785,0,I'm only human
2786,1,"President of MethodSense, a Life Science service company focused on the convergence of Quality, Regulatory Affairs and Technology. "
2787,0,The mission of E. W. Fashion is to provide exceptional mans dress shirts.
2788,0,Pelajar abadi
2789,0,Sabanc University
2790,1,"Speaker-Entrepreneur-Attorney. Wife, mother, daughter, friend, rare disease survivor.  PATRIOT."
2791,0,Explore the world of luxury travel with me.
2792,0,God's princess 
2793,1,"Be part of the conversation about hearing loss and hearing aids. Directory and reviews of U.S. hearing professionals. 
Facebook: "
2794,0,Fans Fanatik Persib And Milanista I Nesta in San Siro
2795,0,bandung
2796,0,Veeeemk veeeem ! ;]
2797,1,"Epidemiologist, Breast Cancer Researcher, Health Writer, Science Geek."
2798,0,Work: Executive Producer at 
2799,0,We are Beautiful in our own way. :)
2800,0,Love Jesus/Doctor/Love my fams and friends also Gummy Kelly/Music/I'm thankful for every single thing that happened in my life.El Seor Jess es todo para m.
2801,0,Wife. Mother. Writer/editor. Penn Stater. Opinions are my own.
2802,0,Biomedico
2803,1,"A physician whose main interests are: preventive medicine, wound treatment, and technology in healthcare."
2804,1,Munther has over 20 yrs of experience in the pharmaceutical industry with deep domain knowledge in clinical trials execution model and emerging technologies
2805,0,"A ignorncia  uma especie de bno . Se voc nao sabe , nao existe dor  -- john lennon"
2806,0,"Let us always meet each other with smile, for the smile is the beginning of love. -Mother Teresa | NYITCOM Class of 2021| Macaulay Honors Class of 2016"
2807,1,The Salk Institute for Biological Studies is one of the world's preeminent basic research institutions.
2808,1,Clinical Instructor/Fellow Addiction Medicine @ University of Wisconsin
2809,0,"Works for Vitamix Corp! July 18, 1998 is the date I always remember. Wrote song called How Can I Say I'm Sorry (I Mean it)"
2810,0,||-// TP BanditoTour 10/21/18 
2811,0,      ... 
2812,0,"kalc ol dedim hayatmda ''KAL , ACI OL'' demedim..."
2813,0,iran
2814,1,If you are behind the curve on ICD-10...we need to connect!!
2815,0,galatasaray fanatii. hayvan sever pizza delisi
2816,1,"Father, foodie & New York City Native with a passion for outstanding customer service and hospitality in healthcare. My tweets are my own."
2817,0,eitim yneticisi
2818,0,Director of 
2819,1,Product Management | Life Sciences Marketing | Healthcare Innovation | Chemical Engineer & MBA
2820,0,How many more have to die? Always have a Designated Driver! Have fun and have the time of your life! Married to a Deputy Sheriff! Mother of Blake and Mackenzie
2821,0,"Acupuncture & Chinese herbs in Noosa, the beautiful Sunshine Coast, Queensland, Australia."
2822,1,"Exercise & nutrition program focused on getting you into the best shape of your life.  Results Guaranteed.
Facebook:  Operation Boot Camp Los Angeles"
2823,0,"""Make your life a dream and your dream a reality."""
2824,0,I help people & businesses w 
2825,1,"Get your Bachelor's Degree in Nursing!
Broward College
RN-BSN Program"
2826,1,Vitiligo is a chronic skin disease that causes loss of pigment
2827,1,"I was born in Brooklyn NY, to West Indian parents. Moved to Long Island, NY at 9. Now I go to American University and I'm a Junior/Bio/Pre-Med Major."
2828,1,"FNP, gerontology first "
2829,0,"One of the best Private Chefs in Toronto for Private Dinner Parties, Events Catering, Christmas Parties, Birthdays and Anniversary parties."
2830,0,"Baki Akbaba 

Roma Kuafor"
2831,1,I am retired and an Adjunct Psychology Instructor at the College of Southern Nevada.
2832,1,"The most comprehensive, fully integrated technology platform available to deliver optimized, continuous care between visits. Virtually."
2833,1,"Future Interventionalist. Interested in Coronary, Structural and Congenital Intervention, 3D Printing, Music and Fishing.

Hunting for Fellowships."
2834,1,I  wanna be  a great physician ... treating poor peoples for free  ...  charities everywhere around the world ..
2835,0,Mam dichosa. Salubrista por el 
2836,0,"The latest in science, every day!"
2837,1,Dr. Daniel A. Saltzman at the U of M is researching a cancer treatment with no side effects. Results are promising but more funding is urgently needed.
2838,0,bethlehem native. philadelphia attorney. daughter. sister. auntie. nittany lion. cousin. friend. fiance
2839,1,Health Care professional looking to network in elder care and rehabilitation.
2840,0,VENEZOLANA de pura cepa.
2841,0,Former Plain Dealer reporter/editor turned content developer 
2842,0,"We're your ally for success in all facets of business in today's volatile economy because we take on the detail work, to ensure your prosperity."
2843,0,"I like the smell of earth,the touch of waves, taste of berries, sight of trees,the feeling of being fully alive.Tennis lover and big admirer of Roger Federer."
2844,0,Happily married to a great guy
2845,0,Mother of two little monster zombies. 
2846,0,Professional Live Answering Service with Operators Based in the United States. With a Plan for your Every Need... We've Got Your Number!
2847,0,"    
     

     
     "
2848,0,Be yourself; everyone else is already taken.
2849,0,1day nje...
2850,0,Elizabeth Hamilton-Guarino | Founder/
2851,1,"We intend to educate & provide individuals and families with advice, innovative tools and products that promote a holistic healthy lifestyle. Whatever you do..."
2852,1,"Healthcare laundry, disposable cubicle curtains, blind and curtain cleaning, maintenance, supply and installation, window film and re-upholstery."
2853,0,"Harry Bosk, PR & Photography, story teller, runner,dog owner, fan of O's, Ravens and Hopkins lax"
2854,0,Bday: September 8
2855,0,Author of The Art of Control: Developing Your Intelligent Emotions & Managing Your Life -Executive Coach to CEOs & College/University Presidents
2856,1,Developed workflow and healthcare systems. Currently working from home for a startup. My sons add to the chaos.
2857,0,Not exactly a good girl.
2858,0,Hoping to be in Smash Bros DLC
2859,1,"Exercise Physiologist, Nutritional Consultant, Optimistic, Business Dev. Enthusiast, Marketer, Healthy Aging, and Brutally Honest"
2860,0,book reader. kitchen mess maker. pop culture onlooker. grammar stickler. doting dog mother.
2861,0,publisher and journalist
2862,0,Check out 
2863,1,"Campaign for the healing arts and sciences devoted to maintaining the health of the teeth, gums"
2864,0,Humanitarian and Animal Lover
2865,0,The worlds first-ever 3D resistance training system.
2866,1,"Nurse practitioner
doTERRA wellness advocate
"
2867,1,"Population, Health and Development Consultant. I am Pro-People."
2868,0,"KNOWLEDGE is POWER...Change is inevitable, but GROWTH is a CHOICE... Na'miste ya'll....(sing: ma-ma-say-ma-ma-saw-ma-ma-coo-sah...)(repeat).."
2869,0,Being to hell and back. I have got vouchers and open bubbles
2870,0,life is shorter than you think
2871,1,"Caridad Center is the largest free healthcare clinic of its kind in FL, providing health/dental services to the uninsured, working poor families of Palm Beach."
2872,0,"Me llamo leandro y soy una persona muy sincera cuando hay que serlo , me gusta la chacota hacer amigos, pero sobre todo las personas sinceras de corazn."
2873,0,Beauty and Health Concierge for anyone at any age and situation. We visit your home and make you feel and look good.
2874,1,"Dartmouth College '91, NYU Med '95, Wash U trained urologist with interests in endourology, BPH, and MIS. Views are my own."
2875,0,games
2876,0,Freehold Shrewsbury Howell Toms River Manchester Little Egg Harbor Lakewood Manahawkin Lacey
2877,1,"Dedicated Wife, Parent, Physician, Ocean lover."
2878,1,"Masters of Public Health Graduate, Avid Reader, Science Lover"
2879,1,"Soccer, healthcare, but really just soccer."
2880,0,"Business Owner, Realtor,Life Coach, Speaker, Entrepreneur, Political Pioneer."
2881,1,MD
2882,0,To Know You is To LOVE You!!  wife 
2883,1,"dad, husband, quality improvement, safety, systems, teams, kidneys | ex-Harkness Fellow "
2884,0,Soul Motivator.Immortal Life Coach. mackensonn25@yahoo.fr
2885,1,"Freelance writer/editor of health, business, human interest"
2886,0,:P Sigueme Y Te SIGO.. *_*
2887,0,PR/Communications Pro & Leader 
2888,1,Healthcare design researcher; evidence based design; design consultant; former nurse
2889,0,ntabb
2890,1, Empowering you and our planet's health on issues that matter
2891,0,Negociadora Internacional.
2892,0,"CEO & Founder of Real Estate Solutions HQ, Inc."
2893,0,Help change the world 
2894,1,Products designed by Wound Care Specialists for Wound Care Specialists
2895,0,Gamer *w* ...
2896,1,"I formed the North Peak Group in 1993.  I specialize in Information Technology (IT) recruiting, mostly in the Hospital / Clinical Informatics industry."
2897,1,"Biosurgery Specialist in Nashville, TN                            Former Southern Coaster"
2898,0,"pizzza delisi,uykucu,ok ak,futol hastas,TRABZON SPORR ,ronaldooooo"
2899,0,"Xennial. 
Dissenter of the so called President. A so called American.
Noble Plebeian.
Ego redemi in veritate."
2900,0,"political, sports,entertainment"
2901,0,"Journalist, podcaster, "
2902,1,We are the premier provider of non-medical homecare in Arizona.  Send us a tweet for more info.
2903,0,"We strive to give foster, adoptive, and kinship parents the knowledge and tools they need to raise children who will thrive in todays world."
2904,0,Software Developer
2905,0,My life in emojis 
2906,0,"Entrepreneur, sport enthusist,counsellor to the youth,an original never dying a copy........."
2907,0,"Ambrose Nwaopara is a prolific writer and a renowned life coach, especially in the area of achieving success, both in relationships and other life endeavors."
2908,1,"Tracking what's next in medical innovation from hospitals, payers, medtech, pharma, digital & beyond. A "
2909,1,Opinionated Primary Care Pharmacist. often disgruntled always correct. Beer. pop culture. politics. views my own; many declarations - 
2910,1,"Passionate About Healthcare, Science & Technology Innovations that will shape the Future Advocate for UBI and cryptoassets Travel addict - Insta: micaontherun"
2911,0,"Odontologa Lser. Profesionales Especialistas en Odontologa General e Infantil, Diseo de Sonrisa, Ciruga Bucal, Endodoncia e Implantes. Tecnologa Lser."
2912,1,"We deliver expertise and solutions to the ultrasound community providing healthcare and biomedical professionals with systems, parts, service and training."
2913,0,kra 16a #82-46 unidad mdica del country consultorio 309 telf 2960557
2914,0,20.God's worshiper
2915,1,"Registered Dietitian, Exercise Physiologist, Certified in Sports Dietetics. Author of the new Hip-Hop Nutrition - Volume I "
2916,0,"{} Do not fell perfect because god is all perfect {} I always evokes words myself, I have the power, ability, and has a high quality "
2917,1,"Healthcare consumer engagement, telehealth and navigation solutions for health plans and providersvia the power of personal connection. 25K interactions daily."
2918,0,tidak semua insan menyadari bahwa yang dikejar-kejar itu telah tersimpan menyelinap dalam lubuk hati sanubarinya
2919,0,Many years in the Arab World
2920,0,RG Staffing Resources offers you a team of highly trained 
2921,0,"Your days are numbered.  Use them to throw open the windows of your soul to the sun.  If you do not, the sun will soon set, and you along with it. - Aurelius"
2922,0,I love my life and the people in it!  
2923,0,"'In the end, we will remember not the words of our enemies, but the silence of our friends'. King Jnr."
2924,1,Foot Healers is a full-service podiatry clinic with a total commitment to keeping your feet healthy - and keeping you happy.
2925,1,"Oral&Maxillofacial Pathologist,DDS,PhD "
2926,1,Studying Health & Public Policy; Loves traveling & eating; Trying to change health outcomes through food & policy. 
2927,1,Covering the latest trends and offering in-depth analysis that healthcare executives need to make crucial decisions.
2928,0,Architect & dog daddy
2929,0,"Husband2HotWife, Father Coach Dad to 11-Cool Kiddo's. Commercial Real Estate-Dallas/USA Wolfpack Wrestling Alum"
2930,1,"Service Disabled Veteran Owned Business. We are your total Medical waste disposal service solution. Safe,Trustworthy,Cost-Effective,Customer Focused,& Reliable."
2931,0,"Proven track record for economic development, employee relations, transparency and accountability. Re-elect Wanda Wallace on Nov. 5th 2013."
2932,0,Global 
2933,0,Medico Especialista en Cirugia ortopedica y traumatologica. Unidad de cadera Clnica Sagrada Famlia Barcelona. Clnica Delfos Mutua Universal Barcelona
2934,1,Familian x Thomasian | MT | MD (Loading 50%)
2935,1,Passionate about safe quality care with compassion & value-based leadership in Healthcare.
2936,1,We're on a mission to save women's lives. Help us find the cures for breast cancer & fund local health programs.
2937,0,Dream big. Do what others won't. Create what many deny.
2938,1,"BVC develops software solutions for medical specialists, providing better outcomes with Integrated care programs."
2939,0,Executive Recruiter
2940,0,"Candidate for Delegate from TX CD8, Republican National Convention -- Technology Lawyer, Small Business Counsel and Patent Attorney; Board Member and VP, PCVA"
2941,0,Delivering research-based information to help Arkansans improve their economic well-being and quality of life. Account maintained by Mktg and Communications.
2942,1,Accelerating life-saving care from 
2943,1,Breast Cancer Survivor & Activist/Food & Drink Maven/TUFS/Influencer/JSU Tiger/Wife/1913/Defining the rules of community engagement.
2944,1,"delegate ASC india-2016, delegate SUSI-2017, Uni. of Massachusetts. blogger at PT, medical student at AIMC/Jinnah hospital Lahore burewala/London/Lahore"
2945,0,",, HI  AMEGOS AND AMEGAS   JOEY ( ) here,,,!!!!! follow me and expect my back . :)"
2946,0,Nur Fatihah Binti Muhamad Zahari | 17 | Kedah .
2947,0,"Una de nuestras mayores virtudes, es poder equivocarnos. Futuro Presi. UNAM. FacMed. INCan. INCard."
2948,0,I finally got unsuspended by the Twitter Overlords and am appropriately chastened.
2949,1,HealthIT Solution Architect working to bring innovative solutions to healthcare providers via 
2950,0,Accept God..Be Educated..Luuk Handsome..Smell Guud..Get Rich..Dress Well..Tink positive..Dus ma Secret..Manchester United till death
2951,0,Peace and love   
2952,0,Am the spiritual advisor to many across the globe. one of the new faces of Trimspa .Trimspa is back....check out new package of Trimspa..my pic is on the box...
2953,0,Passion.  Commitment.  Results.
2954,0,Leadership & Christian Healing Expert  
2955,0,"Seton Hall alum, sports fan and professional high fiver. ""Short cuts make long delays."" "
2956,0,"Dreds, Therapist, Poetress, Real Country/Soul Food Cookin' sista that loves her friends and the company of a good dang man. So....where ya at?"
2957,0,Indian Liberal| Secular| Annihilate Caste l Father l Tweets are personal
2958,0,"The Faith Center for Community Wellness & Advancement, Inc., a 501 (c) (3) non-profit that provides for the holistic needs of the residents of SW Baltimore."
2959,0,"Sociologist, academic and lover of pot plants"
2960,1,"Mom, Wife, Nani, RN, Scuba, Black Belt, Diehard Rockin Roller, Tramp for 40+ years-CANCER WARRIOR-no retreat baby, no surrender!!!! "
2961,1,"Quality Reviews CEO (RateMyHospital) physician-entrepreneur, New Yorker, native of Vancouver, Canada"
2962,0,"All triumphs are born when we dare to start.

Todos los triunfos nacen cuando nos atrevemos a comenzar."
2963,1,Timely health and medical news and information
2964,0,Early Childhood Lesson Plans by Ms. CeCe
2965,0,"A Highly Sensitive Person. Loves: Husband, Nature, Sustainability, Animals, Kindness, Health, Humanity, Real Food, Real News, "
2966,0,say goodbye to stressful sleep! reBloom is a natural sleep drink guaranteed to improve your sleep quality.  
2967,0,KiTa BuTuH CiNtA SeJaTi
2968,1,La. girl in Texas! Disabled dental assistant married to my best friend w/2 terrific children!Autoimmune Arthritis(RA) and chronic pain dealing day by day!
2969,1,The iPhone app for finding Medicare item numbers. Click on the link for a free download
2970,0,I am 
2971,0,'    
2972,0,24 yrs working in Animal Control. Special love for Chihuahuas
2973,1,IT Executive | Digital Health | enabling Technology for Life Sciences
2974,0,i like to listen to music and watch movie and watch tv. i like to play with my dog titan. i have 4 nephew and a niece that i love a lot and have fun with
2975,0,VC + E = IPO Foundation Coming! The Greatest: 
2976,1,Cape Town's Exclusive Colon Hydrotherapy Detox Clinic
2977,1,"Family & Specialty Practice. 
A highly professional office in which each member of your family receives quality dental care from our expert & gentle staff."
2978,0,"System Administrator, Database Developer and Administrator and Application Developer. Information is my job, Technology is my Business"
2979,0,Her Sar'nn karl Larcive'tir !  
2980,0,Console for Kids Educative Android Apps 
2981,1,"Dr. Michael Garvin, Port St. Lucie, Florida, specializes in the care and treatment of medical conditions and deformities of the foot, ankle, and lower leg."
2982,1,"I am an organized, resourceful team -  oriented & result - focused entrepreneur and a professional nurse practitioner with a strong desire in Public Health."
2983,0,"Empowering women 50+ w/ scientific secrets to joy. Consultant, Coach, Speaker, Author. Love travel, nature, movies, dancing, singing, women's retreats, Spanish."
2984,0,"Many choices, styles and colors..."
2985,0,"We provide a comprehensive suite of customized services including: business development, marketing, "
2986,1,Native NYer with wonky genetic code. 29 years old & 4-time cancer survivor. I run long distances & write short essays. Proud 
2987,0,"retired science teacher, wife, mother of 3 redheads, grandmother,  apple grower, proud union member "
2988,0,John 14:14 
2989,0,Brand Consultant
2990,0,God 1st
2991,0,Do it better by design.
2992,0,CONSULTORIA JURDICA: +55 (11) 31130033. carboneadvogado@uol.com.br
2993,1,"An interdisciplinary journal of the American Cancer Society.

Editor-in-Chief: Fadlo R. Khuri, MD ("
2994,0,"Zelfstandige optometrie praktijk in hartje Amsterdam
volledige oogzorg alles digitaal"
2995,0,With US and China GMP labs and 
2996,1,"Surgical Health Outcomes and Research Enterprise, a Division of the Dept of Surgery at the University of Rochester Medical Center"
2997,0,"Seasoned Educator, Training and Staff Development Professional with expertise in Educational Leadership and Licensed Minister"
2998,0,"Former Managing Broker, Premier Sotheby's International in Bonita Springs, Florida."
2999,0,Social Growth Marketing Specialist for 
3000,0,I'm Isabelle Bailey and I'm a 27 yr old autistic girl. I am also an 
3001,1,Health communication and advocacy by a Registered Nurse. Empowering people with the information & guidance they want or need to make informed decisions.
3002,0,A trial lawyer for the people
3003,1,"black market enchilada slinger, chronic pain warrior, chef "
3004,0,Reformed radio & TV news Anchor & Reporter now spending time helping non-profit charities and keeping my cats calm!
3005,1,"General Surgeon at BMCH, ANU Alum. Educator & Researcher of Essential Surgery/GS impact on Public Health"
3006,0,"The key to ancient Okinawan longevity, beauty, and happiness is simple.                                "
3007,0,Republican and Proud of it. Concealed carrier permit also. Love the NRA
3008,0,"If you have nothing good to say,then remain silent"
3009,1,"Infectious Diseases Physician.     Professor of Medicine,                         Boston University School of Medicine."
3010,0,"hye name saye fikry,umur saye 12 thn,saye suke makan nasi ayam dan milo ais"
3011,0,"Want to increase business by winning government contracts? We can help! Complete bid documents delivered in an online portal, saving you time and money!"
3012,0,"Physio... Love Bikes, Beastie Boys, Biz, Baseball. Books, Bourbon 
"
3013,0,The World's Richest Multi billionaire whose life is Hidden in Christ Jesus! CEO of Obiyaa Group of Companies! Cool calm & Collected. Follow let's have Fun!
3014,1,"Sharing Ideas, thoughts and websites on Health & Fitness, our minds, our bodies, our souls! Take care of yourself. :-)"
3015,0,Reporter following manufacturing for The Wall Street Journal. Views are solely my own.
3016,0,I play piano on  youtube follow me and request songs i also follow back
3017,0,"Not all of us can do great things, But we can do small things with great love."
3018,0,"Iam a Certified Life Coach and Counselor, as well as, an Animal Activist and Rescuer.  I enjoy traveling, tennis, politics and reading."
3019,0, Planners is an American Express Travel affiliate.  We provide superior service to our clients for 
3020,0,"Creative K-6 Licensed Educator, lifelong learner who treasures family time with spouse, children, &friends. Pursues reading, traveling, oil painting, & writing."
3021,0,"TCP,  Amante de la naturaleza y su cuidado, lectora  empedernida, Apasionada de la buena mesa y la musica."
3022,0,"If someone harms you, your life is far better off then a life that can harm others!!"
3023,1,whole person physician
3024,0,"Coffee addict, movie lover, Grey's Anatomy obsessed, Harry Potter nerd, maker of YouTube videos"
3025,0,"Junior level Researcher. Currently looking for Post doc positions in
Computational chemistry.
Current affiliation "
3026,0,Tbbi hale Yaynlar
3027,0,Imran .I.G. Abim Ltd
3028,0,Exploring how to connect with friends and keep up with politics!
3029,0,Mom | Wife | RHIA |  Rev Cycle | Volunteer | people person | Tweets represent my independent opinions.
3030,1,"RN & mom to 3 awesome kids (1 w/ complex congenital heart defects & autism, 1 w/Primary immune deficiency & 1 who keeps me on my toes!). Dog & horse fanatic."
3031,0,"Lover of Jesus, wife to my amazing Cruz, Mom to two precious kids, mommy to two sweet lab babies, and worship leader/keys of a great church!!"
3032,1,Assistant Professor of Psychology 
3033,1,"Medical student, author, and dreamer. 

Someday, somehow, I'll change the world."
3034,0,im single and love to have fun
3035,0,440-888-0497 | Specialist in Water / Fire / Storm / Crime Scene / Accidental Death / Bio / Hoarding / Gross Filth / Mold / Cleaning
3036,1,Coral Reef Cudettes Coach and Dance Director. Medical Academy Lead Teacher. WORK HARD... PLAY HARDER! Cheers 
3037,0,"Turnaround/Operations Executive, proud father of 6, Christian, and amateur news junkie.  Maintain numerous twitter news lists.. You are welcome to subscribe."
3038,1,"Diagnosed w/ Follicular NHL in 2014. I have 2 sons. I value science, peace and compassion."
3039,1,"A proud Newfoundlander, professional fundraiser working hard to conquer cancer in our lifetime, volunteer, traveller and dog lover."
3040,0,Takip Edeni Takip Ederim ;)
3041,0,"Newly Renovated, Award Winning Upscale Extended Stay Hotel 5 miles outside of Washington D.C."
3042,0,Mom of 4 
3043,0,Namaste 
3044,0,trie_islami
3045,1,Ph.D. in Immunology.  Worked in organ and stem cell transplants fields for years.  Helping develop Immunotherapies  in Pharma
3046,1,"Discovering the Secrets of Health, Fitness, Longevity, Anti aging,Beauty & Vitality. News from the World on how to Look, Feel and Live on Top of Your Game."
3047,1,Resident Physician - Saint Louis University
3048,1,"CEO and manufacturer of a breast self-exam kit. Includes a seamless nylon shirt with a vertical diagram to mark changes in the breast, instruction DVD, marker."
3049,0,Live is good
3050,0,Mi cantante favorita Avril Lavigne
3051,0,NR
3052,0,Poet Singer Every day may not be the best day of your life but I try to make the best of everyday
3053,0,"PASS Megakarya - EO Mega Project Event 10th PasaRaya Ramadhan 2014 - Safari 1000 Berkah di 1000 Masjid se-Jawa, romyartha@yahoo.com, "
3054,1,"Recruiting the best professional Nurses for all Arab Nations. Dubai, Qatar, Abu Dhabi, Saudi Arabia, Kuwait, UAE,Oman, Bahrain,"
3055,0,"       ,   ,   "
3056,0,Expertise & Experience in 
3057,0,"Public finance lawyer also long involved in civic, charitable, cultural and professional activities."
3058,0,EVENTS WITH IMPACT
3059,1,"Medical practitioner, God fan, Influencer. I believe in equity. Live and let's live."
3060,1,GENERAL SURGON. Lectural in medical collage
3061,0,Let this free bird fly.
3062,0," . , , , , ,      , 3,    . 02-6971-7800"
3063,0,Senior Digital Manager at 
3064,0,there is always a better tomorrow to look forward to..
3065,1,Phd|Post-docl arthritis researcher|cartilage biologist|jovial|painter|
3066,1,"Big sis, third year at Stony Brook Medicine, advocate, Latina"
3067,1,"MFC is a social network dedicated to everyone involved in caregiving.Share stories of hope, strength & courage with new friends by joining our community today!"
3068,1,"Father, news fiend, strategic thinker, healthcare marketing, cancer survivor, Cleveland sports fan & classic rock junkie. IG: mizbarkie F3: Manziel"
3069,0,Customizable case management software for non-profits and social services agencies.
3070,0,Hija prdiga de Twitter. Mombie abnegada. Psiquiatra.
3071,1,"Founded in 2006 and located in Valley Village, CA, Consultancy Services is a full service multi- specialty practice management  company."
3072,0,"Appelizer is based out of Las Vegas, Nevada, and our development team specializes in tailored applications for the Apple and Android market."
3073,1,The Weston Brain Institute is a Canadian granting agency which directly supports world-class neuroscience research.
3074,0,Proud Dad  Philly sports fan  Jeep enthusiast  Allergic to penicillin & stock photography  Managing Partner 
3075,1,"ENT Surgeon, Web Enthusiast, Buddhist"
3076,0,jst play wt me nor ma wyf bt don't mistake to play wt ma bUsInEsS @
3077,0,NYC/NJ - Jets - Yankees - Working w/ & meeting Amazing people everyday...Life is too awesome to not love what you do
3078,0,"te ofrece servicios como camisas polo, camisa oxford, estampados, bordados, paliceros, tazas, banners y muchos mas."
